код,закупка,валюта,группа,подгруппа,наименование,описание,наличие,?
2578506,43500.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-EW302N,"Hitachi CP-EW302N LCD, WXGA, 1280x800, 3000 Lm, 2000:1, лампа 5000/10000 часов, TR 1.5-1.8, VGA x2, HDMI, композитный, аудио mini jack, аудио RCA, USB (B), RS232, RJ45, 37/32 дБ, 3 кг, 320x85x245 мм",,?
2578514,138270.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-EW5001WN,"Hitachi CP-EW5001WN LCD, WXGA, 1280x800, 5000 Lm, 16000:1, лампа 4500/6000 часов, TR 1.4-2.3, VGA x2, HDMI x2, композитный, компонентный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, MHL, 35/27 дБ, 5.3 кг, 413x123x315 мм, Wi-fi (опция)",****,?
2578510,49000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-EX402,"Hitachi CP-EX402 LCD, XGA, 1024x768, 4200 Lm, 2000:1, лампа 5000/8000/10000 часов, TR 1.5-1.8, VGA x2, HDMI, композитный, компонентный, аудио RCA, RS232, 37/32 дБ, 2.9 кг, 320x85x245 мм",* /рез.:***,?
2578513,114708.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-EX5001WN,"Hitachi CP-EX5001WN LCD, XGA, 1024x768, 5200 Lm, 16000:1, лампа 4500/6000 часов, TR 1.4-2.3, VGA x2, HDMI x2, композитный, компонентный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, MHL, 35/27 дБ, 5.3 кг, 413x123x315 мм, Wi-fi (опция)",****,?
2578646,879000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-HD9320,"Hitachi CP-HD9320 Проектор Hitachi CP-HD9320 (без объектива), 1-chip DLP, Full HD, 1920х1080, 8 200 Lm, контрастность 2500:1, портретный режим, HDBaseT, HDMI x2, вес 16.6 кг",,?
2578647,951000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-HD9320-SD,"Hitachi CP-HD9320-SD Проектор Hitachi CP-HD9320 (со стандартным объективом), 1-chip DLP, Full HD, 1920х1080, 8 200 Lm, контрастность 2500:1, портретный режим, HDBaseT, HDMI x2, вес 16.6 кг",,?
2578648,1052000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-HD9950,"Hitachi CP-HD9950 Проектор Hitachi CP-HD9950 (без объектива), 1-chip DLP, Full HD, 1020х1080, 9 500 Lm, контрастность 2500:1, портретный режим, HDBaseT, HDMI x2, SDI, DVI-D, вес 17.9 кг",,?
2578649,1124800.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-HD9950-SD,"Hitachi CP-HD9950-SD Проектор Hitachi CP-HD9950 (со стандартным объективом), 1-chip DLP,  Full HD, 1020х1080, 9 500 Lm, контрастность 2500:1, портретный режим, HDBaseT, HDMI x2, SDI, DVI-D, вес 17.9 кг",,?
2578569,137280.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-TW2505 (УКФ интерактив),"Hitachi CP-TW2505 (УКФ интерактив) Интерактивный, Ультракороткофокусный, LCD, WXGA, 1280x800, 2700 Lm, 10000:1, лампа 5000/8000/10000 часов, TR 0.3, VGA x2, HDMI x2, композитный, аудио mini jack, аудио RCA, USB (A), USB (B), RS232, RJ45, 34/32 дБ, 4.3 кг, 377x136x360 мм, Wi-fi (опция)",**,?
2578570,162426.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-TW3005 (УКФ интерактив),"Hitachi CP-TW3005 (УКФ интерактив) Интерактивный, Ультракороткофокусный, LCD, WXGA, 1280x800, 3300 Lm, 10000:1, лампа 4000/5000/6000 часов, TR 0.3, VGA x2, HDMI x2, композитный, аудио mini jack, аудио RCA, USB (A), USB (B), RS232, RJ45, 36/32 дБ, 4.3 кг, 377x136x360 мм, Wi-fi (опция)",**,?
2578522,178662.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-TW3506 (УКФ интерактив),"Hitachi CP-TW3506 (УКФ интерактив) Интерактивный, Ультракороткофокусный, LCD, WXGA, 1280x800, 3700 Lm, 16000:1, лампа 4000/5000/6000 часов, TR 0.3, VGA x2, HDMI x2, композитный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, 37/32 дБ, 4.5 кг, 382x141x362 мм, Wi-fi (опция)",,?
2578635,213300.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WU5500GF,"Hitachi CP-WU5500GF Проектор Hitachi CP-WU5500 (со стандартным объективом), 3LCD, WUXGA, 1920x1200, 5 200 Lm, контрастность 10000:1, сшивка и коррекция геометрии, HDMI x2, вес 6,5 кг",,?
2578824,236700.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WU5505GF,"Hitachi CP-WU5505GF Проектор Hitachi CP-WU5505 (со стандартным объективом), 3LCD, WUXGA, 1920x1200, 5 200 Lm, контрастность 10000:1, сшивка и коррекция геометрии, HDMI x2, HDBaseT, вес 6.5 кг",,?
2578641,387900.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WU8461,"Hitachi CP-WU8461 LCD, WUXGA, 1920x1200, 6000 Lm, 5000:1, лампа 2000/2500 часов, TR 1.5-3.0 (ML-713), VGA, HDMI x2, BNC, S-Video, композит, компонентный, аудио mini jack, аудио RCA, USB (A) x2, USB (B), RS232, RJ45, HDBaseT, 39/33 дБ, 9.2 кг, 498x135x396 мм, Wi-fi (опция)",,?
2578830,485000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WU8600-ML,"Hitachi CP-WU8600-ML Проектор Hitachi CP-WU8600W (со стандартным объективом ML-713), 3LCD, WUXGA, 1920x1200, 6 000 Lm, контрастность 10000:1, HDBaseT, HDMI x2, Display port, портретная ориентация, вес 11.1 кг",,?
2578642,432000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WU8600W,"Hitachi CP-WU8600W Проектор Hitachi CP-WU8600W (без объектива), 3LCD, WUXGA, 1920x1200, 6 000 Lm, контрастность 10000:1, HDBaseT, HDMI x2, Display port, портретная ориентация, вес 11.1 кг",,?
2578829,612000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WU8700-ML,"Hitachi CP-WU8700-ML Проектор Hitachi CP-WU8700W (со стандартным объективом ML-713), 3LCD, WUXGA, 1920x1200, 7 000 Lm, контрастность 10000:1, HDBaseT, HDMI x2, Display port, портретная ориентация, вес 11.1 кг",,?
2578643,561000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WU8700W,"Hitachi CP-WU8700W Проектор Hitachi CP-WU8700W (без объектива), 3LCD, WUXGA, 1920x1200, 7 000 Lm, контрастность 10000:1, HDBaseT, HDMI x2, Display port, портретная ориентация, вес 11.1 кг",,?
2578652,1410000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WU9100,"Hitachi CP-WU9100 Проектор Hitachi CP-WU9100 (без объектива), 1-chip DLP, WUXGA, 1920х1200, 10 000 Lm, контрастность 2500:1, портретный режим, HDBaseT, HDMI x2, SDI, DVI-D, вес 17.9 кг",,?
2578653,1513000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WU9100-SD,"Hitachi CP-WU9100-SD Проектор Hitachi CP-WU9100-SD (со стандартным объективом), 1-chip DLP, WUXGA, 1920х1200, 10 000 Lm, контрастность 2500:1, портретный режим, HDBaseT, HDMI x2, SDI, DVI-D, вес 17.9 кг",,?
2578650,964000.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WU9410,"Hitachi CP-WU9410 Проектор Hitachi CP-WU9410 (без объектива), 1-chip DLP, WUXGA, 1920x1200, 8 500 Lm, контрастность 2500:1, HDBaseT, HDMI x2, вес 16.6 кг",,?
2578651,1036500.0,RUR,Проекторы,HITACHI,Проекторы HITACHI Hitachi CP-WU9410-SD,"Hitachi CP-WU9410-SD Проектор Hitachi CP-WU9411 (со стандартным объективом), 1-chip DLP, WUXGA, 1920x1200, 8 500 Lm, контрастность 2500:1, HDBaseT, HDMI x2, вес 16.6 кг",,?
